AirBag_Zone_In_PS_CHK_Err
AirBag_Zone_In_PS_CHK_OK
Air_Back_Up_LS_CHK_Err
Air_Supply2_Home_CHK_Err
Air_Supply2_Nozzle_CY_FWD_Err
Air_Supply2_Nozzle_CY_REV_Err
Air_Supply2_Return_Err
Air_Supply2_Rev_FLT_PX_CHK_Err
Air_Supply2_Stopper_CY_FWD_Err
Air_Supply2_Stopper_CY_REV_Err
Air_Supply3_Home_CHK_Err
Air_Supply3_Nozzle_CY_FWD_Err
Air_Supply3_Nozzle_CY_REV_Err
Air_Supply3_Return_Err
Air_Supply3_Rev_FLT_PX_CHK_Err
Air_Supply3_Stopper_CY_FWD_Err
Air_Supply3_Stopper_CY_REV_Err
Air_Supply_Home_CHK_Err
Air_Supply_Nozzle_CY_FWD_Err
Air_Supply_Nozzle_CY_REV_Err
Air_Supply_Return_Err
Air_Supply_Rev_FLT_PX_CHK_Err
Air_Supply_Stopper_CY_FWD_Err
Air_Supply_Stopper_CY_REV_Err
Alarm_All
Alarm_Bit_P
Alarm_Buzzer
Alram_Hone_Time
AL_ETC_Bit
AL_ETC_Word
AL_Heavy_Alarm
AL_Heavy_Alarm_ETC
AL_Heavy_Alarm_Line
AL_Heavy_Alarm_MA
AL_Heavy_Alarm_TK
AL_Line_Bit
AL_Line_Word
AL_MA_Bit
AL_MA_Word
AL_Soft_Alarm
AL_Soft_Alarm_ETC
AL_Soft_Alarm_Line
AL_Soft_Alarm_MA
AL_Soft_Alarm_TK
AL_Tank_Bit
AL_Tank_Word
AL_Warning
AL_Warning_Buzzer
AL_Warning_BZ_Time
AL_Warning_ETC
AL_Warning_Line
AL_Warning_MA
AL_Warning_PL
AL_Warning_PL_Time
AL_Warning_TK
AT_Start_Pump_Run_CHK_Err
AT_Start_RB_Ready_CHK_Err
AT_Start_Select_CHK_Err
AT_Start_Spare1_Err
AT_Start_Spare_Err
Auto_Running_PL
Auto_Start_Warning
Auto_Warning_Time
Build_UP_Fault_HD2
Build_UP_On_HD1
Build_UP_On_HD2
Build_UP_On_HD3
Cange_Emergency
Change_Unit_Hmoe_FLT
Clean_DN_Err_HD1
Clean_DN_Err_HD2
Clean_DN_Err_HD3
Clean_DN_Err_HD4
Clean_UP_Err_HD1
Clean_UP_Err_HD2
Clean_UP_Err_HD3
Clean_UP_Err_HD4
Closing_Auto_Sel
Closing_DN_Over_Err
Closing_DN_Start_Err
Closing_DN_Stop_Err
Closing_Down_RB2_Home_CHK
Closing_LS_CHK_Err
Closing_Trip
Closing_UP_Over_Err
Closing_UP_Start_Err
Closing_UP_Stop_Err
Closing_Zone_In_PS_CHK_Err
Closing_Zone_In_PS_CHK_OK
Conv_ON_PB
Conv_Robot_Home_Fault
Conv_Run_Warning
Conv_Start_Closing_CHK_Err
Conv_Start_Openning_CHK_Err
Conv_Trip
Conv_Warning_Time
Emergency_Sw
HYD1_Build_Up_Err
HYD1_Temp_H_Alarm
HYD1_Temp_L_Alarm
HYD1_Trip
HYD2_Build_Up_Err
HYD2_Temp_H_Alarm
HYD2_Temp_L_Alarm
HYD2_Trip
HYD3_Build_Up_Err
HYD3_Temp_H_Alarm
HYD3_Temp_L_Alarm
HYD3_Trip
HYD4_Build_Up_Err
HYD4_Trip
ID_Fault_Check
ID_Write_Button_ON_CHK
Injection_CL_Err_HD1_P1
Injection_CL_Err_HD1_P2
Injection_CL_Err_HD2_P1
Injection_CL_Err_HD2_P2
Injection_CL_Err_HD3_P1
Injection_CL_Err_HD3_P2
Injection_CL_Err_HD4_P1
Injection_CL_Err_HD4_P2
Injection_OP_Err_HD1_P1
Injection_OP_Err_HD1_P2
Injection_OP_Err_HD2_P1
Injection_OP_Err_HD2_P2
Injection_OP_Err_HD3_P1
Injection_OP_Err_HD3_P2
Injection_OP_Err_HD4_P1
Injection_OP_Err_HD4_P2
Lamp_Test
MD_FWD_Zone_In_PS_CHK_Err
MD_FWD_Zone_In_PS_CHK_OK
MD_REV_Zone_In_PS_CHK_Err
MD_REV_Zone_In_PS_CHK_OK
Mould_Clamp_Close_Fault_LS_CHK_Err
Mould_Cylinder_Back_Fault_LS_CHK_Err
MTK_AG_Trip_P1
MTK_AG_Trip_P5
MTK_Feeding_Pump_Err_P1
MTK_Feeding_Pump_Err_P5
MTK_Feed_VV_Close_Err_P1
MTK_Feed_VV_Close_Err_P5
MTK_Feed_VV_Open_Err_P1
MTK_Feed_VV_Open_Err_P5
MTK_Level_HHH_CHK_P1
MTK_Level_HHH_CHK_P5
MTK_Level_HH_CHK_P1
MTK_Level_HH_CHK_P5
MTK_Level_LL_CHK_P1
MTK_Level_LL_CHK_P5
Opening_DN_Over_Err
Opening_DN_Start_Err
Opening_DN_Stop_Err
Opening_LS_CHK_Err
Opening_Trip
Opening_Unit_Err
Opening_UP_Over_Err
Opening_UP_Start_Err
Opening_UP_Stop_Err
Opening_Zone_In_PS_CHK_Err
Opening_Zone_In_PS_CHK_OK
Para_L_C_Err_Hone_Time
Pour_Zone_In_PS_CHK_OK
Pour_Zone_Stop_PS_CHK_Err
Pour_Zone_Stop_PS_CHK_OK
Prepare
Press_Err_Total_HD1
Press_Err_Total_HD2
Press_Err_Total_HD3
Press_High_Err_I1
Press_High_Err_I2
Press_High_Err_I3
Press_High_Err_I4
Press_High_Err_I5
Press_High_Err_I6
Press_High_Err_I7
Press_High_Err_P1
Press_High_Err_P2
Press_High_Err_P3
Press_High_Err_P4
Press_High_Err_P5
Press_High_Err_P6
Press_High_Err_P7
Press_Low_Err_I1
Press_Low_Err_I2
Press_Low_Err_I3
Press_Low_Err_I4
Press_Low_Err_I5
Press_Low_Err_I6
Press_Low_Err_I7
Press_Low_Err_P1
Press_Low_Err_P2
Press_Low_Err_P3
Press_Low_Err_P4
Press_Low_Err_P5
Press_Low_Err_P6
Press_Low_Err_P7
Pump_In_Press_Low_Err_I1
Pump_In_Press_Low_Err_I2
Pump_In_Press_Low_Err_I3
Pump_In_Press_Low_Err_I4
Pump_In_Press_Low_Err_I5
Pump_In_Press_Low_Err_I6
Pump_In_Press_Low_Err_I7
Pump_In_Press_Low_Err_P1
Pump_In_Press_Low_Err_P2
Pump_In_Press_Low_Err_P3
Pump_In_Press_Low_Err_P4
Pump_In_Press_Low_Err_P5
Pump_In_Press_Low_Err_P6
Pump_In_Press_Low_Err_P7
Pump_Trip_I1
Pump_Trip_I2
Pump_Trip_I3
Pump_Trip_I4
Pump_Trip_I5
Pump_Trip_I6
Pump_Trip_I7
Pump_Trip_P1
Pump_Trip_P2
Pump_Trip_P3
Pump_Trip_P4
Pump_Trip_P5
Pump_Trip_P6
Pump_Trip_P7
RB1_Auto_Mode_CHK_Err
RB1_BUSY
RB1_EMERGENCY_CHK
RB1_Home_Position_CHK_Err
RB1_Soft_Alarm_CHK
RB1_START_Err
RB1_START_LS_CHK
RB1_Total_Alarm_CHK
RB2_Auto_Mode_CHK_Err
RB2_BUSY
RB2_EMERGENCY_CHK
RB2_Home_Position_CHK_Err
RB2_Soft_Alarm_CHK
RB2_START_Err
RB2_START_LS_CHK
RB2_Total_Alarm_CHK
RB3_ALARM
RB3_Auto_Mode_CHK_Err
RB3_Home_Position_CHK_Err
RB3_START_Err
Reset_PL
Reset_Sw
Shoting_HD1_Up_PX_Off_CHK_Err
Shoting_HD2_Up_PX_Off_CHK_Err
Shoting_HD3_Up_PX_Off_CHK_Err
Shoting_HD4_Up_PX_Off_CHK_Err
STK_AG_Trip_I1
STK_AG_Trip_P1
STK_AG_Trip_P2
STK_AG_Trip_P3
STK_AG_Trip_P4
STK_AG_Trip_P5
STK_Feeding_Pump_Err_I1
STK_Feeding_Pump_Err_P1
STK_Feeding_Pump_Err_P2
STK_Feeding_Pump_Err_P3
STK_Feeding_Pump_Err_P4
STK_Feeding_Pump_Err_P5
STK_Feed_Pump_Trip_I1
STK_Feed_Pump_Trip_P1
STK_Feed_Pump_Trip_P2
STK_Feed_Pump_Trip_P3
STK_Feed_Pump_Trip_P4
STK_Feed_Pump_Trip_P5
STK_Feed_VV_Close_Err_I1
STK_Feed_VV_Close_Err_P1
STK_Feed_VV_Close_Err_P2
STK_Feed_VV_Close_Err_P3
STK_Feed_VV_Close_Err_P4
STK_Feed_VV_Close_Err_P5
STK_Feed_VV_Open_Err_I1
STK_Feed_VV_Open_Err_P1
STK_Feed_VV_Open_Err_P2
STK_Feed_VV_Open_Err_P3
STK_Feed_VV_Open_Err_P4
STK_Feed_VV_Open_Err_P5
STK_Heat_Limit_I1
STK_Heat_Limit_P1
STK_Heat_Limit_P2
STK_Heat_Limit_P3
STK_Heat_Limit_P4
STK_Heat_Limit_P5
STK_Level_HHH_CHK_I1
STK_Level_HHH_CHK_P1
STK_Level_HHH_CHK_P2
STK_Level_HHH_CHK_P3
STK_Level_HHH_CHK_P4
STK_Level_HHH_CHK_P5
STK_Level_HH_CHK_I1
STK_Level_HH_CHK_P1
STK_Level_HH_CHK_P2
STK_Level_HH_CHK_P3
STK_Level_HH_CHK_P4
STK_Level_HH_CHK_P5
STK_Level_LL_CHK_I1
STK_Level_LL_CHK_P1
STK_Level_LL_CHK_P2
STK_Level_LL_CHK_P3
STK_Level_LL_CHK_P4
STK_Level_LL_CHK_P5
STK_Level_Max_Alarm_I1
STK_Level_Max_Alarm_P1
STK_Level_Max_Alarm_P2
STK_Level_Max_Alarm_P3
